Ticket #,Symbol,Volume,Open,Close,B/S,Sold,Bought,Gross P/L,Rollover,Net P/L,Created By
21486534,GBP/JPY,3000,12/14/15 5:59 PM,1/19/16 8:15 AM,S,182.747,168.759,248.66,-1.51,247.15,7510123597
21486595,GBP/NZD,2000,12/14/15 6:01 PM,1/4/16 3:56 AM,S,2.233,2.17882,49.73,1.8,51.53,7510123597
21533152,AUD/JPY,4000,12/17/15 5:41 PM,1/8/16 1:15 AM,S,87.203,83.61,83.12,-4.1,79.02,7510123597
21533187,CAD/JPY,4000,12/17/15 5:45 PM,1/19/16 7:03 AM,S,87.91,81.552,151.03,-1.26,149.77,7510123597
21545894,EUR/NZD,2000,12/18/15 5:33 PM,1/6/16 4:47 PM,S,1.6066,1.62096,-13.04,1.39,-11.65,7510123597
21545907,JPN225,10,12/18/15 5:35 PM,1/13/16 6:00 AM,S,18797.0,17738.0,61.92,-5.98,55.94,7510123597
21545941,EUSTX50,4,12/18/15 5:40 PM,1/12/16 1:05 PM,S,3245.0,3098.0,44.14,-1.55,42.59,7510123597
21561519,CAD/JPY,4000,12/21/15 5:45 PM,1/4/16 5:58 PM,S,86.608,85.535,24.46,-0.44,24.02,7510123597
21561533,GBP/NZD,2000,12/21/15 5:48 PM,1/4/16 3:56 AM,S,2.19846,2.17882,18.03,1.23,19.26,7510123597
21636102,AUD/JPY,4000,1/4/16 5:37 PM,1/4/16 5:55 PM,S,85.565,85.716,-3.44,0.0,-3.44,7510123597
21636163,EUSTX50,4,1/4/16 5:44 PM,1/4/16 5:56 PM,S,3171.0,3176.0,-1.47,0.0,-1.47,7510123597
21636213,JPN225,10,1/4/16 5:48 PM,1/4/16 5:57 PM,S,18181.0,18211.0,-1.71,0.0,-1.71,7510123597
21654167,USOil,1,1/5/16 7:07 PM,1/19/16 8:46 PM,S,36.0,28.44,53.32,0.0,53.32,7510123597
21853658,USOil,1,1/5/16 7:07 PM,1/19/16 10:23 PM,S,36.0,28.31,54.32,0.0,54.32,7510123597
21654188,XAU/USD,2,1/5/16 7:09 PM,1/8/16 9:22 AM,B,1095.82,1078.81,23.27,-0.06,23.21,7510123597
21654214,NZD/JPY,3000,1/5/16 7:12 PM,1/19/16 7:07 AM,S,79.662,76.313,59.59,-2.15,57.44,7510123597
21654252,UK100,2,1/5/16 7:15 PM,1/8/16 8:24 AM,S,6139.0,5993.0,29.2,-0.19,29.01,7510123597
21669040,USOil,1,1/6/16 4:53 PM,1/19/16 8:46 PM,S,34.33,28.45,41.47,0.0,41.47,7510123597
21853657,USOil,1,1/6/16 4:53 PM,1/19/16 10:23 PM,S,34.33,28.31,42.52,0.0,42.52,7510123597
21669943,AUD/CAD,5000,1/6/16 6:28 PM,1/8/16 1:15 AM,S,0.99451,0.99635,-4.47,-0.67,-5.14,7510123597
21669956,EUR/TRY,2000,1/6/16 6:30 PM,1/13/16 9:26 AM,B,3.25591,3.23861,7.94,-5.23,2.71,7510123597
21669970,NZD/USD,4000,1/6/16 6:32 PM,1/19/16 10:41 AM,S,0.66294,0.65066,34.32,-2.11,32.21,7510123597
21669990,EUR/USD,3000,1/6/16 6:34 PM,1/7/16 9:28 AM,S,1.07607,1.0859,-20.2,0.12,-20.08,7510123597
21670034,XAU/USD,2,1/6/16 6:38 PM,1/8/16 9:22 AM,B,1095.82,1093.13,3.68,-0.05,3.63,7510123597
21691427,NZD/JPY,3000,1/7/16 5:12 PM,1/19/16 7:07 AM,S,78.368,76.313,36.57,-1.37,35.2,7510123597
